,Instrument,Date,Price Open,Price High,Price Low,Price Close,Volume
311,GOOGL.O,2017-03-28T00:00:00Z,839.69,845.4,832.265,840.63,1519202
312,GOOGL.O,2017-03-29T00:00:00Z,842.75,851.585,841.38,849.87,1457347
313,GOOGL.O,2017-03-30T00:00:00Z,851.98,852.0,846.77,849.48,949398
314,GOOGL.O,2017-03-31T00:00:00Z,846.83,849.56,845.2445,847.8,1440982
315,GOOGL.O,2017-04-03T00:00:00Z,848.75,859.0,847.5298,856.75,1969402
316,GOOGL.O,2017-04-04T00:00:00Z,848.0,853.0,847.505,852.57,1348494
317,GOOGL.O,2017-04-05T00:00:00Z,854.71,860.59,847.52,848.91,1855153
318,GOOGL.O,2017-04-06T00:00:00Z,849.5,853.59,844.0,845.095,1533564
319,GOOGL.O,2017-04-07T00:00:00Z,845.0,845.88,837.3,842.1,1111610
320,GOOGL.O,2017-04-10T00:00:00Z,841.54,846.7372,840.79,841.7,1046215
321,GOOGL.O,2017-04-11T00:00:00Z,841.7,844.63,834.6,839.88,974343
322,GOOGL.O,2017-04-12T00:00:00Z,838.46,843.72,837.59,841.46,1135775
323,GOOGL.O,2017-04-13T00:00:00Z,841.04,843.73,837.8503,840.18,1073650
324,GOOGL.O,2017-04-17T00:00:00Z,841.38,855.64,841.03,855.13,1049125
325,GOOGL.O,2017-04-18T00:00:00Z,852.54,857.39,851.25,853.99,936201
326,GOOGL.O,2017-04-19T00:00:00Z,857.385,860.2,853.5275,856.51,1080336
327,GOOGL.O,2017-04-20T00:00:00Z,859.74,863.93,857.5,860.08,1188843
328,GOOGL.O,2017-04-21T00:00:00Z,860.62,862.44,857.73,858.95,1172870
329,GOOGL.O,2017-04-24T00:00:00Z,868.44,879.96,866.11,878.93,1696483
330,GOOGL.O,2017-04-25T00:00:00Z,882.26,892.25,879.2801,888.84,2038032
331,GOOGL.O,2017-04-26T00:00:00Z,891.39,892.99,885.15,889.14,1323297
332,GOOGL.O,2017-04-27T00:00:00Z,890.0,893.3774,887.18,891.44,2342303
333,GOOGL.O,2017-04-28T00:00:00Z,929.0,935.9,923.22,924.52,3845857
334,GOOGL.O,2017-05-01T00:00:00Z,924.15,935.82,920.8,932.82,2327782
335,GOOGL.O,2017-05-02T00:00:00Z,933.27,942.985,931.0,937.09,1751292
336,GOOGL.O,2017-05-03T00:00:00Z,936.05,950.2,935.21,948.45,1824759
337,GOOGL.O,2017-05-04T00:00:00Z,950.29,959.14,947.37,954.72,1938260
338,GOOGL.O,2017-05-05T00:00:00Z,956.72,958.4395,948.0986,950.28,1615548
339,GOOGL.O,2017-05-08T00:00:00Z,947.45,960.99,947.395,958.69,1876690
340,GOOGL.O,2017-05-09T00:00:00Z,961.33,962.2,954.4,956.71,1687942
341,GOOGL.O,2017-05-10T00:00:00Z,956.22,956.71,949.84,954.84,1145969
342,GOOGL.O,2017-05-11T00:00:00Z,951.29,957.99,948.61,955.89,1031093
343,GOOGL.O,2017-05-12T00:00:00Z,957.85,957.98,952.06,955.14,1214851
344,GOOGL.O,2017-05-15T00:00:00Z,955.29,962.7,952.82,959.22,1337697
345,GOOGL.O,2017-05-16T00:00:00Z,963.55,965.8955,960.35,964.61,1101544
346,GOOGL.O,2017-05-17T00:00:00Z,959.7,960.99,940.06,942.17,2449058
347,GOOGL.O,2017-05-18T00:00:00Z,943.2,954.18,941.27,950.5,1800465
348,GOOGL.O,2017-05-19T00:00:00Z,952.82,959.56,952.0,954.65,1360299
349,GOOGL.O,2017-05-22T00:00:00Z,957.0,964.82,956.56,964.07,1387392
350,GOOGL.O,2017-05-23T00:00:00Z,969.96,974.51,964.5,970.55,1545421
351,GOOGL.O,2017-05-24T00:00:00Z,975.26,978.115,971.6299,977.61,1142488
352,GOOGL.O,2017-05-25T00:00:00Z,979.0,995.78,977.82,991.86,1954149
353,GOOGL.O,2017-05-26T00:00:00Z,992.0,996.39,987.36,993.27,1636416
354,GOOGL.O,2017-05-30T00:00:00Z,992.5,997.62,991.3601,996.17,1516685
355,GOOGL.O,2017-05-31T00:00:00Z,996.21,999.6,981.68,987.09,1724095
356,GOOGL.O,2017-06-01T00:00:00Z,990.96,993.14,981.29,988.29,1306384
357,GOOGL.O,2017-06-02T00:00:00Z,988.59,996.48,987.07,996.12,1735469
358,GOOGL.O,2017-06-05T00:00:00Z,997.89,1007.4011,995.45,1003.88,1378916
359,GOOGL.O,2017-06-06T00:00:00Z,1003.31,1008.61,994.8,996.68,1552114
360,GOOGL.O,2017-06-07T00:00:00Z,998.82,1003.91,995.81,1001.59,1374097
361,GOOGL.O,2017-06-08T00:00:00Z,1004.23,1005.6,996.62,1004.28,1687925
362,GOOGL.O,2017-06-09T00:00:00Z,1005.49,1005.5,953.37,970.12,3647857
363,GOOGL.O,2017-06-12T00:00:00Z,958.72,968.0,936.795,961.81,4202109
364,GOOGL.O,2017-06-13T00:00:00Z,972.04,977.91,962.01,970.5,2005356
365,GOOGL.O,2017-06-14T00:00:00Z,975.5,979.7,959.5103,967.93,1505486
366,GOOGL.O,2017-06-15T00:00:00Z,948.02,960.6775,940.37,960.18,2427639
367,GOOGL.O,2017-06-16T00:00:00Z,957.91,959.95,948.7,958.62,2559207
368,GOOGL.O,2017-06-19T00:00:00Z,969.65,979.3,968.2,975.22,1468837
369,GOOGL.O,2017-06-20T00:00:00Z,975.31,980.79,968.2,968.99,1297287
370,GOOGL.O,2017-06-21T00:00:00Z,970.79,979.67,969.16,978.59,1161607
371,GOOGL.O,2017-06-22T00:00:00Z,976.87,980.5,973.3148,976.62,1009476
372,GOOGL.O,2017-06-23T00:00:00Z,975.5,986.62,974.46,986.09,1563985
373,GOOGL.O,2017-06-26T00:00:00Z,990.0,993.99,970.33,972.09,1517912
374,GOOGL.O,2017-06-27T00:00:00Z,961.6,967.22,947.09,948.09,2443602
375,GOOGL.O,2017-06-28T00:00:00Z,950.66,963.24,936.16,961.01,2745568
376,GOOGL.O,2017-06-29T00:00:00Z,951.35,951.66,929.6,937.82,3206674
377,GOOGL.O,2017-06-30T00:00:00Z,943.99,944.9995,929.61,929.68,2287662
378,GOOGL.O,2017-07-03T00:00:00Z,933.22,934.24,915.31,919.46,1694811
379,GOOGL.O,2017-07-05T00:00:00Z,924.2,936.29,918.6305,932.26,2094055
380,GOOGL.O,2017-07-06T00:00:00Z,925.0,936.14,919.85,927.69,2014855
381,GOOGL.O,2017-07-07T00:00:00Z,930.985,944.66,929.79,940.81,1663302
382,GOOGL.O,2017-07-10T00:00:00Z,941.95,953.13,941.95,951.0,1451460
383,GOOGL.O,2017-07-11T00:00:00Z,950.52,954.89,945.12,953.53,1461247
384,GOOGL.O,2017-07-12T00:00:00Z,960.86,969.63,957.04,967.66,1602115
385,GOOGL.O,2017-07-13T00:00:00Z,970.8,978.7,964.8,968.85,1524571
386,GOOGL.O,2017-07-14T00:00:00Z,974.0,977.54,970.15,976.91,1079608
387,GOOGL.O,2017-07-17T00:00:00Z,976.32,983.35,970.8,975.96,1660464
388,GOOGL.O,2017-07-18T00:00:00Z,973.36,990.85,972.04,986.95,1413335
389,GOOGL.O,2017-07-19T00:00:00Z,990.01,995.6,987.01,992.77,1412148
390,GOOGL.O,2017-07-20T00:00:00Z,997.0,998.68,984.62,992.19,1418385
391,GOOGL.O,2017-07-21T00:00:00Z,989.0,995.11,984.17,993.84,1463322
392,GOOGL.O,2017-07-24T00:00:00Z,994.1,1006.19,990.2728,998.31,3984532
393,GOOGL.O,2017-07-25T00:00:00Z,970.7,976.73,963.8,969.03,5933602
394,GOOGL.O,2017-07-26T00:00:00Z,972.78,973.95,960.23,965.31,2221625
395,GOOGL.O,2017-07-27T00:00:00Z,969.18,969.52,937.06,952.51,3717900
396,GOOGL.O,2017-07-28T00:00:00Z,947.99,961.79,945.31,958.33,1813794
397,GOOGL.O,2017-07-31T00:00:00Z,960.0,961.1925,941.725,945.5,2293389
398,GOOGL.O,2017-08-01T00:00:00Z,947.81,954.49,944.96,946.56,1332456
399,GOOGL.O,2017-08-02T00:00:00Z,948.37,949.1,932.5210000000001,947.64,2039418
400,GOOGL.O,2017-08-03T00:00:00Z,949.1,950.0,939.44,940.3,1123921
401,GOOGL.O,2017-08-04T00:00:00Z,943.95,947.54,939.795,945.79,1254574
402,GOOGL.O,2017-08-07T00:00:00Z,947.52,948.96,943.5,945.75,1445754
403,GOOGL.O,2017-08-08T00:00:00Z,944.29,952.49,942.48,944.19,1505064
404,GOOGL.O,2017-08-09T00:00:00Z,938.45,943.76,933.92,940.08,1400852
405,GOOGL.O,2017-08-10T00:00:00Z,935.0,936.3,921.7768,923.59,2707393
406,GOOGL.O,2017-08-11T00:00:00Z,923.71,933.36,921.22,930.09,1616708
407,GOOGL.O,2017-08-14T00:00:00Z,939.07,941.04,934.485,938.93,1150612
408,GOOGL.O,2017-08-15T00:00:00Z,941.03,943.07,936.64,938.08,1106484
409,GOOGL.O,2017-08-16T00:00:00Z,941.25,949.9,940.0391,944.27,1345261
410,GOOGL.O,2017-08-17T00:00:00Z,942.95,943.81,927.64,927.66,1695694
411,GOOGL.O,2017-08-18T00:00:00Z,926.98,931.02,923.45,926.18,1337404
412,GOOGL.O,2017-08-21T00:00:00Z,925.77,928.25,918.6,920.87,1301243
413,GOOGL.O,2017-08-22T00:00:00Z,926.96,941.9617,926.17,940.4,1775099
414,GOOGL.O,2017-08-23T00:00:00Z,937.0,945.425,935.24,942.58,1134464
415,GOOGL.O,2017-08-24T00:00:00Z,943.71,946.31,930.74,936.89,1294559
416,GOOGL.O,2017-08-25T00:00:00Z,939.21,940.73,930.1,930.5,1187313
417,GOOGL.O,2017-08-28T00:00:00Z,931.88,934.85,926.11,928.13,1049397
418,GOOGL.O,2017-08-29T00:00:00Z,919.95,938.19,919.31,935.75,1158576
419,GOOGL.O,2017-08-30T00:00:00Z,935.67,945.86,934.05,943.63,1120342
420,GOOGL.O,2017-08-31T00:00:00Z,946.3,957.195,946.25,955.24,1693313
421,GOOGL.O,2017-09-01T00:00:00Z,957.47,958.33,950.28,951.99,1042885
422,GOOGL.O,2017-09-05T00:00:00Z,946.86,951.3854,935.6,941.48,1460830
423,GOOGL.O,2017-09-06T00:00:00Z,943.87,944.5,932.68,942.02,1391529
424,GOOGL.O,2017-09-07T00:00:00Z,944.25,950.4965,937.53,949.89,1116575
425,GOOGL.O,2017-09-08T00:00:00Z,949.7,950.7,940.01,941.41,999916
426,GOOGL.O,2017-09-11T00:00:00Z,947.2,952.68,941.0,943.29,1337365
427,GOOGL.O,2017-09-12T00:00:00Z,946.92,948.085,937.5,946.65,1284787
428,GOOGL.O,2017-09-13T00:00:00Z,945.5,952.85,944.74,950.44,1095382
429,GOOGL.O,2017-09-14T00:00:00Z,946.0,948.03,938.3560000000001,940.13,1427379
430,GOOGL.O,2017-09-15T00:00:00Z,940.09,941.75,931.25,935.29,1994265
431,GOOGL.O,2017-09-18T00:00:00Z,935.01,936.86,925.4,929.75,1473651
432,GOOGL.O,2017-09-19T00:00:00Z,933.41,937.94,926.66,936.86,1242726
433,GOOGL.O,2017-09-20T00:00:00Z,937.73,950.0,937.5,947.54,2004018
434,GOOGL.O,2017-09-21T00:00:00Z,948.13,952.8,939.38,947.55,1370685
435,GOOGL.O,2017-09-22T00:00:00Z,942.77,950.0,940.835,943.26,1074806
436,GOOGL.O,2017-09-25T00:00:00Z,939.45,939.75,924.5101,934.28,1873375
437,GOOGL.O,2017-09-26T00:00:00Z,936.69,944.08,935.12,937.43,1672749
438,GOOGL.O,2017-09-27T00:00:00Z,942.74,965.43,941.95,959.9,2334635
439,GOOGL.O,2017-09-28T00:00:00Z,956.25,966.18,955.55,964.81,1400931
440,GOOGL.O,2017-09-29T00:00:00Z,966.0,975.81,966.0,973.72,2031092
